iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2012 1 0 0 -999.0 -23.09 4.83 -999.0 -999.0 10.97 89.24 10.15 98.86 0.0 0.0 -999.0 364.2 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 1 0 -999.0 -22.54 4.85 -999.0 -999.0 11.09 89.21 10.16 98.87 0.0 0.0 -999.0 365.97 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 2 0 -999.0 -22.81 4.52 -999.0 -999.0 10.34 89.74 10.07 98.87 0.0 0.0 -999.0 366.76 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 3 0 -999.0 -23.3 4.99 -999.0 -999.0 9.64 90.25 9.98 98.83 0.0 0.0 -999.0 367.22 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 4 0 -999.0 -24.22 6.11 -999.0 -999.0 9.24 90.27 9.98 98.84 0.0 0.0 -999.0 367.04 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 5 0 -999.0 -26.56 5.78 -999.0 -999.0 9.3 91.34 9.8 98.81 0.0 0.0 -999.0 360.81 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 6 0 -999.0 -26.05 6.55 -999.0 -999.0 9.34 92.77 9.58 98.83 0.0 0.0 -999.0 360.33 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 7 0 -999.0 -19.0 2.5 -999.0 -999.0 9.5 93.3 9.49 98.8 0.0 0.0 -999.0 364.26 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 8 0 -999.0 -18.71 2.85 -999.0 -999.0 9.64 93.98 9.38 98.81 0.0 0.0 -999.0 363.01 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 9 0 -999.0 -17.36 3.46 -999.0 -999.0 10.17 93.89 9.39 98.78 0.0 3.49 -999.0 362.31 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 10 0 -999.0 -13.03 7.21 -999.0 -999.0 9.3 91.1 9.84 98.77 0.0 19.71 -999.0 360.34 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2012 1 11 0 -999.0 -7.84 19.41 -999.0 -999.0 9.86 88.84 10.19 98.67 0.0 44.51 -999.0 362.36 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
