iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld Wuh xsmd lai kdiff kdir wdir
2018 1 0 0 -999.0 -50.97 25.07 -999.0 -999.0 13.96 73.73 4.61 97.75 0.0 0.0 -999.0 299.67 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 1 0 -999.0 -67.16 17.29 -999.0 -999.0 12.85 77.1 3.99 97.86 0.0 0.0 -999.0 257.28 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 2 0 -999.0 -61.71 12.78 -999.0 -999.0 12.17 78.72 3.71 97.94 0.0 0.0 -999.0 254.51 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 3 0 -999.0 -50.91 10.07 -999.0 -999.0 12.07 80.1 3.47 97.97 0.0 0.0 -999.0 266.74 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 4 0 -999.0 -52.31 9.22 -999.0 -999.0 11.89 81.69 3.19 97.97 0.0 0.0 -999.0 263.03 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 5 0 -999.0 -54.2 9.46 -999.0 -999.0 11.5 81.68 3.19 97.95 0.0 0.0 -999.0 264.59 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 6 0 -999.0 -55.68 8.84 -999.0 -999.0 11.01 81.45 3.23 97.93 0.0 0.0 -999.0 265.21 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 7 0 -999.0 -53.8 8.65 -999.0 -999.0 9.19 82.83 2.98 97.84 0.0 0.0 -999.0 247.51 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 8 0 -999.0 -42.67 6.79 -999.0 -999.0 7.81 83.83 2.8 97.76 0.0 0.0 -999.0 263.44 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 9 0 -999.0 -32.29 7.94 -999.0 -999.0 7.13 82.86 2.96 97.73 0.0 13.57 -999.0 275.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 10 0 -999.0 -17.82 14.89 -999.0 -999.0 4.81 99.92 3.47 97.64 0.0 51.35 -999.0 289.33 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 11 0 -999.0 -6.73 19.69 -999.0 -999.0 4.66 96.91 3.89 97.61 0.0 83.48 -999.0 293.5 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 12 0 -999.0 -0.22 20.47 -999.0 -999.0 4.83 95.05 4.16 97.57 0.0 90.46 -999.0 302.36 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 13 0 -999.0 0.95 22.94 -999.0 -999.0 6.87 94.2 4.29 97.6 0.0 89.73 -999.0 305.87 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 14 0 -999.0 -7.42 29.05 -999.0 -999.0 7.62 93.39 4.41 97.62 0.0 71.94 -999.0 310.56 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 15 0 -999.0 -22.74 30.53 -999.0 -999.0 9.15 93.81 4.36 97.71 0.0 45.49 -999.0 307.71 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 16 0 -999.0 -43.8 15.81 -999.0 -999.0 10.07 95.56 4.12 97.84 0.0 21.97 -999.0 271.56 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 17 0 -999.0 -56.77 7.98 -999.0 -999.0 9.82 78.02 3.84 97.94 0.0 0.0 -999.0 256.34 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 18 0 -999.0 -62.03 10.58 -999.0 -999.0 11.18 77.71 3.91 98.05 0.0 0.0 -999.0 252.94 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 19 0 -999.0 -85.83 35.17 -999.0 -999.0 13.48 75.28 4.37 98.16 0.0 0.0 -999.0 255.9 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 20 0 -999.0 -97.2 45.66 -999.0 -999.0 14.96 72.72 4.89 98.31 0.0 0.0 -999.0 265.69 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 21 0 -999.0 -95.91 45.28 -999.0 -999.0 15.32 71.39 5.17 98.45 0.0 0.0 -999.0 272.96 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 22 0 -999.0 -96.84 33.9 -999.0 -999.0 13.93 71.12 5.24 98.57 0.0 0.0 -999.0 256.18 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 1 23 0 -999.0 -83.92 25.15 -999.0 -999.0 12.55 72.7 4.95 98.72 0.0 0.0 -999.0 258.11 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 0 0 -999.0 -69.14 18.7 -999.0 -999.0 12.15 73.99 4.72 98.87 0.0 0.0 -999.0 266.33 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 1 0 -999.0 -65.32 11.58 -999.0 -999.0 11.28 76.42 4.28 98.96 0.0 0.0 -999.0 252.81 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 2 0 -999.0 -60.29 6.65 -999.0 -999.0 10.07 79.9 3.65 99.01 0.0 0.0 -999.0 242.23 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 3 0 -999.0 -55.28 4.41 -999.0 -999.0 9.28 82.48 3.22 99.08 0.0 0.0 -999.0 240.35 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 4 0 -999.0 -48.75 2.38 -999.0 -999.0 8.36 83.96 2.97 99.11 0.0 0.0 -999.0 238.84 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 5 0 -999.0 -41.92 0.17 -999.0 -999.0 6.79 87.46 2.4 99.11 0.0 0.0 -999.0 237.96 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 6 0 -999.0 -33.82 0.14 -999.0 -999.0 6.38 88.51 2.24 99.16 0.0 0.0 -999.0 248.59 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 7 0 -999.0 -28.68 1.03 -999.0 -999.0 5.74 88.9 2.18 99.13 0.0 0.0 -999.0 246.83 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 8 0 -999.0 -22.13 1.69 -999.0 -999.0 5.63 88.04 2.31 99.11 0.0 0.0 -999.0 266.87 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 9 0 -999.0 -20.26 2.97 -999.0 -999.0 6.05 86.29 2.58 99.08 0.0 10.41 -999.0 276.45 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 10 0 -999.0 -7.81 10.06 -999.0 -999.0 5.73 81.05 3.45 99.01 0.0 48.72 -999.0 298.41 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 11 0 -999.0 -13.81 17.79 -999.0 -999.0 7.45 94.14 4.48 98.86 0.0 48.71 -999.0 317.23 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 12 0 -999.0 -35.23 27.35 -999.0 -999.0 9.36 87.78 5.46 98.74 1.0 23.33 -999.0 332.42 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 13 0 -999.0 -38.03 26.85 -999.0 -999.0 11.13 100.63 6.1 98.52 0.0 23.18 -999.0 339.84 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 14 0 -999.0 -38.05 26.78 -999.0 -999.0 12.66 98.33 6.41 98.41 0.0 20.04 -999.0 346.27 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 15 0 -999.0 -35.37 15.8 -999.0 -999.0 11.66 94.17 7.02 98.31 0.0 9.14 -999.0 351.17 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 16 0 -999.0 -50.99 14.88 -999.0 -999.0 11.88 102.89 7.98 98.3 0.0 5.01 -999.0 345.65 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 17 0 -999.0 -71.88 31.56 -999.0 -999.0 11.72 89.1 7.82 98.27 0.0 0.0 -999.0 339.23 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 18 0 -999.0 -76.81 32.57 -999.0 -999.0 10.19 91.15 7.48 98.21 0.0 0.0 -999.0 319.6 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 19 0 -999.0 -54.36 18.97 -999.0 -999.0 10.6 92.54 7.23 98.01 1.0 0.0 -999.0 319.49 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 20 0 -999.0 -62.96 14.07 -999.0 -999.0 14.24 91.5 7.37 97.85 0.0 0.0 -999.0 311.87 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 21 0 -999.0 -59.91 19.99 -999.0 -999.0 16.36 89.94 7.57 97.58 1.0 0.0 -999.0 338.5 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 22 0 -999.0 -58.56 24.29 -999.0 -999.0 18.0 101.84 7.98 97.26 0.0 0.0 -999.0 355.18 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 2 23 0 -999.0 -68.34 27.03 -999.0 -999.0 18.49 97.71 8.54 97.01 0.0 0.0 -999.0 359.36 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 0 0 -999.0 -89.68 48.48 -999.0 -999.0 19.08 96.29 8.76 97.05 2.0 0.0 -999.0 367.61 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 1 0 -999.0 -162.93 146.1 -999.0 -999.0 16.15 75.15 7.43 96.99 1.0 0.0 -999.0 355.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 2 0 -999.0 -145.08 92.76 -999.0 -999.0 18.38 78.09 6.88 96.98 0.0 0.0 -999.0 297.39 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 3 0 -999.0 -103.33 63.62 -999.0 -999.0 19.64 87.64 5.22 96.93 0.0 0.0 -999.0 298.15 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 4 0 -999.0 -82.58 43.28 -999.0 -999.0 19.55 73.63 4.51 96.95 0.0 0.0 -999.0 284.78 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 5 0 -999.0 -84.21 29.55 -999.0 -999.0 18.85 76.32 4.01 97.01 0.0 0.0 -999.0 261.52 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 6 0 -999.0 -88.94 23.58 -999.0 -999.0 18.45 75.08 4.26 97.1 0.0 0.0 -999.0 253.36 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 7 0 -999.0 -86.01 17.94 -999.0 -999.0 18.27 74.55 4.37 97.19 0.0 0.0 -999.0 254.77 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 8 0 -999.0 -82.62 17.54 -999.0 -999.0 18.72 73.76 4.54 97.35 0.0 0.0 -999.0 270.39 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 9 0 -999.0 -83.01 24.53 -999.0 -999.0 18.48 71.77 4.96 97.51 0.0 18.23 -999.0 264.78 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 10 0 -999.0 -56.44 49.0 -999.0 -999.0 16.4 67.67 5.82 97.7 0.0 93.85 -999.0 264.55 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 11 0 -999.0 -28.36 70.03 -999.0 -999.0 17.55 63.98 6.64 97.8 0.0 164.52 -999.0 270.63 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 12 0 -999.0 -12.23 84.67 -999.0 -999.0 17.44 61.47 7.22 97.81 0.0 202.69 -999.0 280.12 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 13 0 -999.0 -20.21 84.35 -999.0 -999.0 18.91 59.96 7.6 97.95 0.0 204.31 -999.0 267.83 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 14 0 -999.0 -30.37 78.24 -999.0 -999.0 17.69 60.62 7.45 97.99 0.0 188.43 -999.0 261.62 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 15 0 -999.0 -57.44 55.63 -999.0 -999.0 16.54 62.24 7.08 98.06 0.0 103.82 -999.0 272.16 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 16 0 -999.0 -86.65 28.4 -999.0 -999.0 15.43 63.8 6.73 98.14 0.0 31.59 -999.0 260.98 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 17 0 -999.0 -90.83 14.21 -999.0 -999.0 14.64 65.19 6.42 98.13 0.0 0.0 -999.0 262.11 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 18 0 -999.0 -87.29 13.37 -999.0 -999.0 14.34 66.19 6.21 98.16 0.0 0.0 -999.0 264.65 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 19 0 -999.0 -78.52 11.33 -999.0 -999.0 13.92 66.54 6.13 98.17 0.0 0.0 -999.0 259.54 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 20 0 -999.0 -81.02 10.98 -999.0 -999.0 13.24 67.3 5.97 98.16 0.0 0.0 -999.0 256.69 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 21 0 -999.0 -78.11 9.79 -999.0 -999.0 12.94 85.79 5.7 98.13 0.0 0.0 -999.0 256.36 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 22 0 -999.0 -73.91 8.24 -999.0 -999.0 11.65 70.47 5.31 98.14 0.0 0.0 -999.0 257.99 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 3 23 0 -999.0 -70.09 6.89 -999.0 -999.0 11.07 89.11 5.15 98.11 0.0 0.0 -999.0 260.46 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 4 0 0 -999.0 -69.0 5.43 -999.0 -999.0 10.39 90.74 4.89 98.07 0.0 0.0 -999.0 256.93 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 4 1 0 -999.0 -62.65 4.16 -999.0 -999.0 9.72 92.49 4.61 98.03 0.0 0.0 -999.0 259.58 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 4 2 0 -999.0 -51.25 3.35 -999.0 -999.0 8.19 93.06 4.53 98.05 0.0 0.0 -999.0 270.15 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 4 3 0 -999.0 -45.98 1.67 -999.0 -999.0 7.4 95.72 4.11 97.93 0.0 0.0 -999.0 261.87 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 4 4 0 -999.0 -26.97 2.16 -999.0 -999.0 5.39 97.45 3.84 97.81 0.0 0.0 -999.0 294.39 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 4 5 0 -999.0 -16.55 3.42 -999.0 -999.0 3.36 97.33 3.85 97.77 0.0 0.0 -999.0 315.91 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 4 6 0 -999.0 -13.2 8.31 -999.0 -999.0 3.01 98.05 3.73 97.65 1.0 0.0 -999.0 327.38 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 4 7 0 -999.0 -7.24 8.89 -999.0 -999.0 4.77 97.88 3.73 97.49 1.0 0.0 -999.0 339.6 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 4 8 0 -999.0 -8.89 7.66 -999.0 -999.0 6.11 105.0 4.01 97.35 2.0 0.0 -999.0 342.5 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 4 9 0 -999.0 -10.24 2.34 -999.0 -999.0 7.37 105.0 4.79 97.28 0.0 1.29 -999.0 347.84 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 4 10 0 -999.0 -34.44 12.02 -999.0 -999.0 11.86 104.15 7.65 97.27 0.0 14.88 -999.0 353.84 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 4 11 0 -999.0 -61.91 62.6 -999.0 -999.0 12.53 96.71 8.72 97.22 0.0 78.56 -999.0 344.98 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
2018 4 12 0 -999.0 -54.96 84.65 -999.0 -999.0 13.67 83.24 8.64 97.15 0.0 114.56 -999.0 341.71 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0 -999.0
