 iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
37 2013 2 14 0 -999 -999 -999 -999 -999 1.6757 58.2252 10.541699999999999 97.9485 0.0 134.5464 -999 314.9446 -999 -999 -999 -999 -999 -999 -999
38 2013 2 15 0 -999 -999 -999 -999 -999 1.787 58.3382 10.8205 97.9841 0.0 112.4424 -999 315.5526 -999 -999 -999 -999 -999 -999 -999
39 2013 2 16 0 -999 -999 -999 -999 -999 1.9475 59.7716 10.8875 98.0431 0.0 84.8464 -999 317.8669 -999 -999 -999 -999 -999 -999 -999
40 2013 2 17 0 -999 -999 -999 -999 -999 2.108 61.1928 10.9545 98.1021 0.0 51.7586 -999 321.8873 -999 -999 -999 -999 -999 -999 -999
41 2013 2 18 0 -999 -999 -999 -999 -999 2.2166 64.4998 10.7996 98.2027 0.0522 18.6708 -999 325.9077 -999 -999 -999 -999 -999 -999 -999
42 2013 2 19 0 -999 -999 -999 -999 -999 2.2731 69.8846 10.422699999999999 98.3451 0.0522 0.0 -999 328.0876 -999 -999 -999 -999 -999 -999 -999
43 2013 2 20 0 -999 -999 -999 -999 -999 2.3296 75.5218 10.0458 98.4875 0.0522 0.0 -999 328.427 -999 -999 -999 -999 -999 -999 -999
44 2013 2 21 0 -999 -999 -999 -999 -999 2.3263 79.7244 9.774899999999999 98.6037 0.1367 0.0 -999 328.7664 -999 -999 -999 -999 -999 -999 -999
45 2013 2 22 0 -999 -999 -999 -999 -999 2.2632 82.3354 9.6101 98.6938 0.1367 0.0 -999 329.459 -999 -999 -999 -999 -999 -999 -999
46 2013 2 23 0 -999 -999 -999 -999 -999 2.2 84.9997 9.4453 98.7839 0.1367 0.0 -999 330.5049 -999 -999 -999 -999 -999 -999 -999
47 2013 3 0 0 -999 -999 -999 -999 -999 2.2369 87.4653 9.2502 98.8503 0.2065 0.0 -999 331.5509 -999 -999 -999 -999 -999 -999 -999
48 2013 3 1 0 -999 -999 -999 -999 -999 2.3739 89.7306 9.024799999999999 98.8932 0.2065 0.0 -999 331.713 -999 -999 -999 -999 -999 -999 -999
49 2013 3 2 0 -999 -999 -999 -999 -999 2.5109 92.0487 8.7994 98.936 0.2065 0.0 -999 330.9914 -999 -999 -999 -999 -999 -999 -999
50 2013 3 3 0 -999 -999 -999 -999 -999 2.576 93.5844 8.5805 98.9654 0.209 0.0 -999 330.2697 -999 -999 -999 -999 -999 -999 -999
51 2013 3 4 0 -999 -999 -999 -999 -999 2.5693 94.2994 8.367899999999999 98.9814 0.209 0.0 -999 329.2353 -999 -999 -999 -999 -999 -999 -999
52 2013 3 5 0 -999 -999 -999 -999 -999 2.5626 95.0171 8.1554 98.9974 0.209 0.0 -999 327.8881 -999 -999 -999 -999 -999 -999 -999
53 2013 3 6 0 -999 -999 -999 -999 -999 2.4874 95.3936 7.9 99.0183 0.1409 0.0 -999 326.5409 -999 -999 -999 -999 -999 -999 -999
54 2013 3 7 0 -999 -999 -999 -999 -999 2.3436 95.3992 7.6016 99.044 0.1409 0.0 -999 325.1502 -999 -999 -999 -999 -999 -999 -999
55 2013 3 8 0 -999 -999 -999 -999 -999 2.1999 95.3662 7.3033 99.0697 0.1409 0.0 -999 323.7161 -999 -999 -999 -999 -999 -999 -999
56 2013 3 9 0 -999 -999 -999 -999 -999 2.1942 93.8487 7.2911 99.0829 0.1039 33.5502 -999 322.282 -999 -999 -999 -999 -999 -999 -999
57 2013 3 10 0 -999 -999 -999 -999 -999 2.3266 90.9385 7.5651 99.0836 0.1039 52.907 -999 321.1885 -999 -999 -999 -999 -999 -999 -999
58 2013 3 11 0 -999 -999 -999 -999 -999 2.459 88.1086 7.839 99.0842 0.1039 78.2003 -999 320.4358 -999 -999 -999 -999 -999 -999 -999
59 2013 3 12 0 -999 -999 -999 -999 -999 2.4426 85.8112 8.0738 99.0293 0.1025 103.4937 -999 319.6831 -999 -999 -999 -999 -999 -999 -999
60 2013 3 13 0 -999 -999 -999 -999 -999 2.2775 84.0148 8.2695 98.9188 0.1025 105.7854 -999 319.3528 -999 -999 -999 -999 -999 -999 -999
61 2013 3 14 0 -999 -999 -999 -999 -999 2.1123 82.2541 8.4651 98.8082 0.1025 85.0754 -999 319.4449 -999 -999 -999 -999 -999 -999 -999
62 2013 3 15 0 -999 -999 -999 -999 -999 1.9538 81.9277 8.510100000000001 98.7211 0.1132 64.3655 -999 319.537 -999 -999 -999 -999 -999 -999 -999
63 2013 3 16 0 -999 -999 -999 -999 -999 1.802 83.0177 8.404399999999999 98.6574 0.1132 45.3033 -999 319.6818 -999 -999 -999 -999 -999 -999 -999
64 2013 3 17 0 -999 -999 -999 -999 -999 1.6502 84.1191 8.2987 98.5937 0.1132 27.8889 -999 319.8793 -999 -999 -999 -999 -999 -999 -999
65 2013 3 18 0 -999 -999 -999 -999 -999 1.5906 86.068 8.1515 98.5751 0.1331 10.4745 -999 320.0768 -999 -999 -999 -999 -999 -999 -999
66 2013 3 19 0 -999 -999 -999 -999 -999 1.6232 88.902 7.9627 98.6017 0.1331 0.0 -999 321.1976 -999 -999 -999 -999 -999 -999 -999
67 2013 3 20 0 -999 -999 -999 -999 -999 1.6558 91.7985 7.7739 98.6283 0.1331 0.0 -999 323.2416 -999 -999 -999 -999 -999 -999 -999
68 2013 3 21 0 -999 -999 -999 -999 -999 1.648 93.2475 7.5485 98.6453 0.1595 0.0 -999 325.2856 -999 -999 -999 -999 -999 -999 -999
69 2013 3 22 0 -999 -999 -999 -999 -999 1.6 93.1785 7.2864 98.6526 0.1595 0.0 -999 326.55 -999 -999 -999 -999 -999 -999 -999
70 2013 3 23 0 -999 -999 -999 -999 -999 1.5519 93.0781 7.0244 98.66 0.1595 0.0 -999 327.0349 -999 -999 -999 -999 -999 -999 -999
71 2013 4 0 0 -999 -999 -999 -999 -999 1.4736 93.0503 6.8381 98.6504 0.1218 0.0 -999 327.5198 -999 -999 -999 -999 -999 -999 -999
72 2013 4 1 0 -999 -999 -999 -999 -999 1.365 93.1168 6.7275 98.6239 0.1218 0.0 -999 327.7284 -999 -999 -999 -999 -999 -999 -999
73 2013 4 2 0 -999 -999 -999 -999 -999 1.2564 93.1796 6.6168 98.5973 0.1218 0.0 -999 327.6606 -999 -999 -999 -999 -999 -999 -999
74 2013 4 3 0 -999 -999 -999 -999 -999 1.1838 93.0992 6.5067 98.5637 0.0885 0.0 -999 327.5929 -999 -999 -999 -999 -999 -999 -999
75 2013 4 4 0 -999 -999 -999 -999 -999 1.147 92.8726 6.3971 98.5231 0.0885 0.0 -999 326.9189 -999 -999 -999 -999 -999 -999 -999
76 2013 4 5 0 -999 -999 -999 -999 -999 1.1103 92.6383 6.2874 98.4824 0.0885 0.0 -999 325.6387 -999 -999 -999 -999 -999 -999 -999
77 2013 4 6 0 -999 -999 -999 -999 -999 1.0746 92.4039 6.1589 98.4592 0.0631 0.0 -999 324.3584 -999 -999 -999 -999 -999 -999 -999
78 2013 4 7 0 -999 -999 -999 -999 -999 1.04 92.1649 6.0114 98.4533 0.0631 0.0 -999 323.6652 -999 -999 -999 -999 -999 -999 -999
79 2013 4 8 0 -999 -999 -999 -999 -999 1.0054 91.9119 5.8639 98.4474 0.0631 0.0 -999 323.5591 -999 -999 -999 -999 -999 -999 -999
80 2013 4 9 0 -999 -999 -999 -999 -999 1.056 90.2331 5.9138 98.4515 0.0329 32.5598 -999 323.4529 -999 -999 -999 -999 -999 -999 -999
81 2013 4 10 0 -999 -999 -999 -999 -999 1.1918 87.201 6.161 98.4656 0.0329 55.8204 -999 322.9213 -999 -999 -999 -999 -999 -999 -999
82 2013 4 11 0 -999 -999 -999 -999 -999 1.3276 84.2494 6.4082 98.4796 0.0329 89.3176 -999 321.9642 -999 -999 -999 -999 -999 -999 -999
83 2013 4 12 0 -999 -999 -999 -999 -999 1.3198 81.175 6.718500000000001 98.4174 0.0297 122.8148 -999 321.0072 -999 -999 -999 -999 -999 -999 -999
84 2013 4 13 0 -999 -999 -999 -999 -999 1.1683 78.0103 7.0920000000000005 98.2791 0.0297 133.0165 -999 318.9915 -999 -999 -999 -999 -999 -999 -999
85 2013 4 14 0 -999 -999 -999 -999 -999 1.0168 74.9636 7.4654 98.1407 0.0297 119.9228 -999 315.917 -999 -999 -999 -999 -999 -999 -999
86 2013 4 15 0 -999 -999 -999 -999 -999 1.0247 71.7935 7.7769 98.0381 0.0 106.8291 -999 312.8425 -999 -999 -999 -999 -999 -999 -999
87 2013 4 16 0 -999 -999 -999 -999 -999 1.1921 68.4888 8.0265 97.9714 0.0 84.3637 -999 308.2053 -999 -999 -999 -999 -999 -999 -999
88 2013 4 17 0 -999 -999 -999 -999 -999 1.3595 65.2816 8.2761 97.9047 0.0 52.5265 -999 302.0052 -999 -999 -999 -999 -999 -999 -999
89 2013 4 18 0 -999 -999 -999 -999 -999 1.4754 64.7282 8.2829 97.8883 0.0 20.6894 -999 295.8053 -999 -999 -999 -999 -999 -999 -999
90 2013 4 19 0 -999 -999 -999 -999 -999 1.5398 66.7967 8.046800000000001 97.9223 0.0 0.0 -999 294.7523 -999 -999 -999 -999 -999 -999 -999
91 2013 4 20 0 -999 -999 -999 -999 -999 1.6042 68.9187 7.8107 97.9562 0.0 0.0 -999 298.8464 -999 -999 -999 -999 -999 -999 -999
92 2013 4 21 0 -999 -999 -999 -999 -999 1.6122 70.66 7.4342 98.0044 0.0 0.0 -999 302.9406 -999 -999 -999 -999 -999 -999 -999
93 2013 4 22 0 -999 -999 -999 -999 -999 1.5636 71.9885 6.9173 98.0668 0.0 0.0 -999 306.9197 -999 -999 -999 -999 -999 -999 -999
94 2013 4 23 0 -999 -999 -999 -999 -999 1.515 73.328 6.4003 98.1292 0.0 0.0 -999 310.7837 -999 -999 -999 -999 -999 -999 -999
95 2013 5 0 0 -999 -999 -999 -999 -999 1.4101 74.9594 6.0405999999999995 98.1604 0.0 0.0 -999 314.6478 -999 -999 -999 -999 -999 -999 -999
96 2013 5 1 0 -999 -999 -999 -999 -999 1.2489 76.9064 5.838 98.1604 0.0 0.0 -999 316.85 -999 -999 -999 -999 -999 -999 -999
97 2013 5 2 0 -999 -999 -999 -999 -999 1.0877 78.896 5.635400000000001 98.1603 0.0 0.0 -999 317.3903 -999 -999 -999 -999 -999 -999 -999
98 2013 5 3 0 -999 -999 -999 -999 -999 0.9911 80.8364 5.4389 98.1562 0.0177 0.0 -999 317.9306 -999 -999 -999 -999 -999 -999 -999
99 2013 5 4 0 -999 -999 -999 -999 -999 0.9592 82.7232 5.2485 98.1481 0.0177 0.0 -999 314.5512 -999 -999 -999 -999 -999 -999 -999
100 2013 5 5 0 -999 -999 -999 -999 -999 0.9273 84.6481 5.058 98.14 0.0177 0.0 -999 307.252 -999 -999 -999 -999 -999 -999 -999
101 2013 5 6 0 -999 -999 -999 -999 -999 0.9657 86.0412 4.9437999999999995 98.147 0.0216 0.0 -999 299.9527 -999 -999 -999 -999 -999 -999 -999
102 2013 5 7 0 -999 -999 -999 -999 -999 1.0744 86.8765 4.9056999999999995 98.169 0.0216 0.0 -999 297.7573 -999 -999 -999 -999 -999 -999 -999
103 2013 5 8 0 -999 -999 -999 -999 -999 1.1831 87.7159 4.8677 98.191 0.0216 0.0 -999 300.6655 -999 -999 -999 -999 -999 -999 -999
104 2013 5 9 0 -999 -999 -999 -999 -999 1.3465 87.2042 5.2354 98.2141 0.0315 56.0855 -999 303.5737 -999 -999 -999 -999 -999 -999 -999
105 2013 5 10 0 -999 -999 -999 -999 -999 1.5645 85.3188 6.0088 98.2383 0.0315 87.1256 -999 305.1603 -999 -999 -999 -999 -999 -999 -999
106 2013 5 11 0 -999 -999 -999 -999 -999 1.7825 83.4152 6.7823 98.2626 0.0315 126.7717 -999 305.4253 -999 -999 -999 -999 -999 -999 -999
107 2013 5 12 0 -999 -999 -999 -999 -999 1.8552 82.0631 7.306 98.2339 0.0422 166.4178 -999 305.6903 -999 -999 -999 -999 -999 -999 -999
108 2013 5 13 0 -999 -999 -999 -999 -999 1.7827 81.2726 7.5802 98.1522 0.0422 176.1007 -999 306.1719 -999 -999 -999 -999 -999 -999 -999
