 iy id it imin qn qh qe qs qf U RH Tair pres rain kdown snow ldown fcld wuh xsmd lai kdiff kdir wdir
40 2013 2 17 0 -999 -999 -999 -999 -999 0.82 56.41 7.49 95.0 0.0 73.69 -999 322.4 -999 -999 -999 -999 -999 -999 -999
41 2013 2 18 0 -999 -999 -999 -999 -999 1.37 68.29 7.18 95.0 0.01 10.24 -999 324.78 -999 -999 -999 -999 -999 -999 -999
42 2013 2 19 0 -999 -999 -999 -999 -999 1.48 68.64 7.31 95.0 0.03 0.0 -999 323.05 -999 -999 -999 -999 -999 -999 -999
43 2013 2 20 0 -999 -999 -999 -999 -999 2.38 70.76 7.71 95.0 0.12 0.0 -999 326.98 -999 -999 -999 -999 -999 -999 -999
44 2013 2 21 0 -999 -999 -999 -999 -999 2.7 75.3 7.73 95.0 0.25 0.0 -999 326.3 -999 -999 -999 -999 -999 -999 -999
45 2013 2 22 0 -999 -999 -999 -999 -999 2.63 81.01 7.15 95.0 0.31 0.0 -999 326.44 -999 -999 -999 -999 -999 -999 -999
46 2013 2 23 0 -999 -999 -999 -999 -999 2.15 83.52 6.58 95.0 0.3 0.0 -999 326.37 -999 -999 -999 -999 -999 -999 -999
47 2013 3 0 0 -999 -999 -999 -999 -999 1.81 86.14 6.67 95.0 0.32 0.0 -999 325.33 -999 -999 -999 -999 -999 -999 -999
48 2013 3 1 0 -999 -999 -999 -999 -999 1.66 87.67 6.42 95.0 0.31 0.0 -999 323.21 -999 -999 -999 -999 -999 -999 -999
49 2013 3 2 0 -999 -999 -999 -999 -999 1.99 89.4 6.54 95.0 0.29 0.0 -999 324.32 -999 -999 -999 -999 -999 -999 -999
50 2013 3 3 0 -999 -999 -999 -999 -999 2.59 91.55 6.42 95.0 0.33 0.0 -999 321.2 -999 -999 -999 -999 -999 -999 -999
51 2013 3 4 0 -999 -999 -999 -999 -999 3.57 92.67 6.19 95.0 0.37 0.0 -999 320.35 -999 -999 -999 -999 -999 -999 -999
52 2013 3 5 0 -999 -999 -999 -999 -999 4.49 93.03 6.26 95.0 0.38 0.0 -999 322.24 -999 -999 -999 -999 -999 -999 -999
53 2013 3 6 0 -999 -999 -999 -999 -999 4.86 89.23 5.91 95.0 0.4 0.0 -999 322.17 -999 -999 -999 -999 -999 -999 -999
54 2013 3 7 0 -999 -999 -999 -999 -999 5.59 86.22 5.9 95.0 0.37 0.0 -999 321.25 -999 -999 -999 -999 -999 -999 -999
